tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,300,300,0,0,0,0,50,25806,11446,50,0,300,0,0,0,0,0,0,0,0
2,50,0,300,300,0,0,0,0,50,21213,12622,50,0,300,0,0,0,0,0,0,0,0
3,48,2,299,300,2,0,0,0,48,17921,13745,50,0,300,0,0,0,0,0,0,0,0
4,48,2,299,299,2,2,0,0,48,14239,14851,50,0,300,0,0,0,0,0,0,0,0
5,47,3,299,299,2,2,0,0,47,11613,16703,50,0,300,0,0,0,0,0,0,0,0
6,47,3,298,298,4,4,0,0,47,9450,17989,50,0,300,0,0,0,0,0,0,0,0
7,47,3,298,298,4,4,0,0,47,7525,19170,50,0,300,0,0,0,0,0,0,0,0
8,47,3,298,297,4,6,0,0,47,6655,20334,50,0,300,0,0,0,0,0,0,0,0
9,45,5,298,297,4,6,0,0,45,5764,21785,50,0,300,0,0,0,0,0,0,0,0
10,45,5,298,297,4,6,0,0,45,4865,23142,50,0,300,0,0,0,0,0,0,0,0
11,44,6,297,297,6,6,0,0,44,3899,24118,50,0,300,0,0,0,0,0,0,0,0
12,44,6,297,296,6,8,0,0,44,3007,25645,50,0,300,0,0,0,0,0,0,0,0
13,42,8,296,294,8,12,0,0,42,2524,27155,50,0,300,0,0,0,0,0,0,0,0
14,42,8,295,294,10,12,0,0,42,1996,28618,50,0,300,0,0,0,0,0,0,0,0
15,40,10,295,294,10,12,0,0,40,1696,29894,50,0,300,0,0,0,0,0,0,0,0
16,40,10,295,294,10,12,0,0,40,1405,30944,50,0,300,0,0,0,0,0,0,0,0
17,38,12,295,292,10,16,0,0,38,1152,32413,50,0,300,0,0,0,0,0,0,0,0
18,38,12,290,291,20,18,0,0,38,987,33938,50,0,300,0,0,0,0,0,0,0,0
19,37,13,288,289,24,22,0,0,37,791,35572,50,0,300,0,0,0,0,0,0,0,0
20,37,13,288,287,24,26,0,0,37,678,36743,50,0,300,0,0,0,0,0,0,0,0
21,36,14,287,287,26,26,0,0,36,537,38275,50,0,300,0,0,0,0,0,0,0,0
22,36,14,287,287,26,26,0,0,36,436,39352,50,0,300,0,0,0,0,0,0,0,0
23,36,14,287,287,26,26,0,0,36,371,40564,50,0,300,0,0,0,0,0,0,0,0
24,36,14,286,286,28,28,0,0,36,305,41671,50,0,300,0,0,0,0,0,0,0,0
25,36,14,283,286,34,28,0,0,36,258,42942,50,0,300,0,0,0,0,0,0,0,0
26,36,14,283,284,34,32,0,0,36,205,44244,50,0,300,0,0,0,0,0,0,0,0
27,35,15,282,282,36,36,0,0,35,171,45822,50,0,300,0,0,0,0,0,0,0,0
28,35,15,280,281,40,38,0,0,35,142,47133,50,0,300,0,0,0,0,0,0,0,0
29,34,16,279,278,42,44,0,0,34,130,48153,50,0,300,0,0,0,0,0,0,0,0
30,34,16,277,276,46,48,0,0,34,115,49795,50,0,300,0,0,0,0,0,0,0,0
31,33,17,277,274,46,52,0,0,33,103,51198,50,0,300,0,0,0,0,0,0,0,0
32,33,17,277,272,46,56,0,0,33,93,52995,50,0,300,0,0,0,0,0,0,0,0
33,31,19,276,272,48,56,0,0,31,88,54318,50,0,300,0,0,0,0,0,0,0,0
34,31,19,275,270,50,60,0,0,31,76,55982,50,0,300,0,0,0,0,0,0,0,0
35,29,21,275,269,50,62,0,0,29,69,57417,50,0,300,0,0,0,0,0,0,0,0
