tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,300,300,0,0,0,0,50,24815,11524,50,0,300,0,0,0,0,0,0,0,0
2,50,0,300,300,0,0,0,0,50,19114,12625,50,0,300,0,0,0,0,0,0,0,0
3,48,2,299,300,2,0,0,0,48,15334,13796,50,0,300,0,0,0,0,0,0,0,0
4,48,2,298,300,4,0,0,0,48,13106,15160,50,0,300,0,0,0,0,0,0,0,0
5,47,3,298,300,4,0,0,0,47,10664,16675,50,0,300,0,0,0,0,0,0,0,0
6,47,3,298,300,4,0,0,0,47,9222,17741,50,0,300,0,0,0,0,0,0,0,0
7,47,3,298,300,4,0,0,0,47,7703,18800,50,0,300,0,0,0,0,0,0,0,0
8,47,3,297,300,6,0,0,0,47,6635,20534,50,0,300,0,0,0,0,0,0,0,0
9,45,5,297,300,6,0,0,0,45,5780,21712,50,0,300,0,0,0,0,0,0,0,0
10,45,5,296,300,8,0,0,0,45,4619,23101,50,0,300,0,0,0,0,0,0,0,0
11,45,5,296,300,8,0,0,0,45,3774,24260,50,0,300,0,0,0,0,0,0,0,0
12,45,5,296,299,8,2,0,0,45,3163,25717,50,0,300,0,0,0,0,0,0,0,0
13,45,5,295,299,10,2,0,0,45,2662,27458,50,0,300,0,0,0,0,0,0,0,0
14,45,5,295,299,10,2,0,0,45,2060,28877,50,0,300,0,0,0,0,0,0,0,0
15,45,5,294,298,12,4,0,0,45,1761,30183,50,0,300,0,0,0,0,0,0,0,0
16,45,5,294,297,12,6,0,0,45,1408,30998,50,0,300,0,0,0,0,0,0,0,0
17,44,6,292,297,16,6,0,0,44,1065,32357,50,0,300,0,0,0,0,0,0,0,0
18,44,6,290,297,20,6,0,0,44,942,33583,50,0,300,0,0,0,0,0,0,0,0
19,42,8,289,296,22,8,0,0,42,805,34785,50,0,300,0,0,0,0,0,0,0,0
20,42,8,289,295,22,10,0,0,42,667,35710,50,0,300,0,0,0,0,0,0,0,0
21,42,8,288,294,24,12,0,0,42,546,37042,50,0,300,0,0,0,0,0,0,0,0
22,42,8,288,293,24,14,0,0,42,452,38005,50,0,300,0,0,0,0,0,0,0,0
23,42,8,288,291,24,18,0,0,42,378,39158,50,0,300,0,0,0,0,0,0,0,0
24,42,8,287,291,26,18,0,0,42,298,40694,50,0,300,0,0,0,0,0,0,0,0
25,41,9,285,288,30,24,0,0,41,253,41850,50,0,300,0,0,0,0,0,0,0,0
26,41,9,285,288,30,24,0,0,41,211,43061,50,0,300,0,0,0,0,0,0,0,0
27,39,11,284,288,32,24,0,0,39,186,44301,50,0,300,0,0,0,0,0,0,0,0
28,39,11,283,287,34,26,0,0,39,156,45803,50,0,300,0,0,0,0,0,0,0,0
29,37,13,282,286,36,28,0,0,37,136,47173,50,0,300,0,0,0,0,0,0,0,0
30,37,13,281,286,38,28,0,0,37,118,48462,50,0,300,0,0,0,0,0,0,0,0
31,37,13,281,285,38,30,0,0,37,103,49786,50,0,300,0,0,0,0,0,0,0,0
32,37,13,280,285,40,30,0,0,37,95,51060,50,0,300,0,0,0,0,0,0,0,0
33,36,14,280,285,40,30,0,0,36,82,52403,50,0,300,0,0,0,0,0,0,0,0
34,36,14,280,285,40,30,0,0,36,69,53629,50,0,300,0,0,0,0,0,0,0,0
